name,type,input,output,package,pathString
garch_modelspec,function,xts,tsgarch.spec,tsgarch,tsgarch/garch_modelspec
simulate,method,tsgarch.spec,tsgarch.simulate,tsmethods,tsgarch/garch_modelspec/simulate
tsfilter,method,tsgarch.spec,tsgarch.estimate,tsmethods,tsgarch/garch_modelspec/tsfilter
omega,method,tsgarch.spec,numeric,tsgarch,tsgarch/garch_modelspec/omega
tsbacktest,method,tsgarch.spec,list,tsmethods,tsgarch/garch_modelspec/tsbacktest
estimate,method,tsgarch.spec,tsgarch.estimate,tsmethods,tsgarch/estimate
summary,method,tsgarch.estimate,summary.tsgarch,stats,tsgarch/estimate/summary
print,method,summary.tsgarch,print,base,tsgarch/estimate/summary/print
as_flextable,method,summary.tsgarch,flextable,flextable,tsgarch/estimate/summary/as_flextable
tidy,method,tsgarch.estimate,tibble,tidy,tsgarch/estimate/tidy
glance,method,tsgarch.estimate,tibble,glance,tsgarch/estimate/glance
omega,method,tsgarch.estimate,numeric,tsgarch,tsgarch/estimate/omega
sigma,method,tsgarch.estimate,xts,stats,tsgarch/estimate/sigma
plot,method,tsgarch.estimate,plot,graphics,tsgarch/estimate/plot
coef,method,tsgarch.estimate,numeric,stats,tsgarch/estimate/coef
logLik,method,tsgarch.estimate,logLik,stats,tsgarch/estimate/logLik
fitted,method,tsgarch.estimate,xts,stats,tsgarch/estimate/fitted
residuals,method,tsgarch.estimate,xts,stats,tsgarch/estimate/residuals
tsequation,method,tsgarch.estimate,list,tsmethods,tsgarch/estimate/tsequation
AIC,method,tsgarch.estimate,numeric,stats,tsgarch/estimate/AIC
BIC,method,tsgarch.estimate,numeric,stats,tsgarch/estimate/BIC
persistence,method,tsgarch.estimate,numeric,tsgarch,tsgarch/estimate/persistence
confint,method,tsgarch.estimate,matrix,stats,tsgarch/estimate/confint
vcov,method,tsgarch.estimate,matrix,stats,tsgarch/estimate/vcov
bread,method,tsgarch.estimate,matrix,sandwich,tsgarch/estimate/bread
estfun,method,tsgarch.estimate,matrix,sandwich,tsgarch/estimate/estfun
predict,method,tsgarch.estimate,tsmodel.predict,stats,tsgarch/estimate/predict
plot,method,tsmodel.predict,plot,tsmethods,tsgarch/estimate/predict/plot
pit,method,tsgarch.predict,xts,tsmethods,tsgarch/estimate/predict/pit
simulate,method,tsgarch.estimate,tsmodel.simulate,stats,tsgarch/estimate/simulate
tsfilter,method,tsgarch.estimate,tsmodel.estimate,tsmethods,tsgarch/estimate/tsfilter
unconditional,method,tsgarch.estimate,numeric,tsmethods,tsgarch/estimate/unconditional
sigma,method,tsgarch.estimate,numeric,tsmethods,tsgarch/estimate/sigma
nobs,method,tsgarch.estimate,numeric,stats,tsgarch/estimate/nobs
pit,method,tsgarch.estimate,xts,tsmethods,tsgarch/estimate/pit
halflife,method,numeric,numeric,tsmethods,tsgarch/halflife
newsimpact,function,numeric,tsgarch.newsimpact,tsgarch,tsgarch/newsimpact
plot,method,tsgarch.newsimpact,plot,graphics,tsgarch/newsimpact/plot
